# 品牌缺失建议列表（最终版）
# 共 184 组，1015 条
# 格式: 品牌名|数量|示例|[DB]

盒马|535|盒马 冰鲜 黑猪梅花肉 约350g/盒|[DB]
有机一分甘|79|有机一分甘白萝卜 500g|[DB]
盒补补|47|盒补补 西洋参薄片(1.6-1.8cm) 散称|[DB]
盒漫漫|23|盒漫漫 澳洲黑安格斯谷饲150天M2+西冷牛排400g|
盒马MAX|20|盒马MAX 中东36度甜虾 2kg(15-20头/500g)|[DB]
盒马烘焙|16|盒马烘焙 瑞士卷(原味+伯爵+巧克力+红丝绒) 560g 8片|[DB]
禄稣|15|【刺身】三文鱼100g厚切-禄稣|[DB]
盒马工坊|12|盒马工坊 鲜刀削面 300g|[DB]
新新精艺|10|新新精艺 DIY纸灯笼 ZQZ-9103|[DB]
郁金香|9|郁金香 黄色 10支|[DB]
麒麟|8|麒麟奶油西瓜半个装 1.8kg|[DB]
太湖黑|7|太湖黑 鲜宰 无抗黑猪(排骨)大排 350g|
盒马苗苗菜|7|盒马苗苗菜 杭白菜苗(长度≤18cm) 约250g|
盒马日日鲜|6|盒马日日鲜 豌豆仁 150g|[DB]
牧高笛|5|牧高笛 乐享躺椅 细沙黄|
加油虾|4|加油虾 麻辣口味小龙虾 4-6钱 620g|
五芳斋|4|五芳斋 蛋黄猪肉粽 500g(5只)|
盒马菌菇星球|4|盒马菌菇星球 野生松茸 150g (5-7cm)|
十三敖包|3|十三敖包 内蒙古天然散养羔羊带骨羊前腿(切段) 1kg|
匠酱好|3|匠酱好 酸汤肥牛菜用调料 210g|[DB]
元气自在水|3|元气自在水 红豆薏米水 500ml|
苹果|3|新疆阿克苏苹果12个礼盒装 3kg|[DB]
素养生活|3|素养生活 有机秋木耳 90g|
果子熟了|3|果子熟了 茉莉花味龙井茶饮品 500ml*15|
洽洽|3|洽洽 怪味花生五香味 130g*5|[DB]
盐中甜|3|盐中甜 益生菌圆白菜 70g|
蒸笼头|3|蒸笼头 贝贝南瓜原制奶酪馒头 150g*4|
郎|2|【水果菜】桃太郎粉番茄 600g|[DB]
原本记忆|2|原本记忆 卤香豆干 205g|
赞岐|2|赞岐 熟成乌冬面 100g*8 日本进口|
盒马酩品|2|盒马酩品 布迪酒庄干红葡萄酒 750ml 法国进口|[DB]
双子座|2|双子座 晚安贴 8贴|
金龙鱼|2|金龙鱼 纯正玉米油 4L|[DB]
新年|2|新年 粉色诺贝松花环装饰 直径30cm|
Pink|2|Pink Lady苹果礼盒9粒装 1.35kg|
几分之几|2|几分之几 金钻凤梨干 100g|
柠檬共和国|2|柠檬共和国 咸柠七含气果汁饮料 300g|
贝臣|2|贝臣 罗莎莉娅公主洗发护发露    230ml*3 德国进口|
丰收日|2|丰收日 扁尖老鸭汤 1.2kg|
盐津铺子|2|盐津铺子 虎皮鱼豆腐(周黑鸭经典风味) 588g|
盒风|2|盒风 刺身深海厚切双拼(三文鱼+鰤鱼) 100g|
觅菓|2|觅菓 有机核桃仁(AA+) 218g|
出前一丁|2|出前一丁 九州浓汤猪骨汤味油炸方便面 100g*5 中国香港地区|
西贝功夫菜|2|西贝功夫菜 黄馍馍 300g*2|
南方黑芝麻|2|南方黑芝麻  黑豆桑葚黑芝麻糊   700g|
艾美尼亚|2|艾美尼亚里奥哈陈酿干红葡萄酒 750ml 西班牙进口|
马尔|2|马尔堡起源黑比诺红葡萄酒 750ml*6 新西兰进口|
好天好饮|1|好天好饮 蜜桃味 配制酒 360ml 韩国进口|[DB]
汾酒|1|汾酒 紫砂瓶 53度 475ml|[DB]
七拼寿司|1|七拼寿司 12粒-禄稣|
大自然|1|大自然 冬笋尖(片) 230g|[DB]
金门高粱酒|1|金门高粱酒 53度 500ml 中国台湾地区|
欧巡双洋|1|欧巡双洋 清爽果香 白葡萄酒 750ml 南非进口|
冰顶|1|冰顶 黑啤酒 500ml 德国进口|
日出寿|1|日出寿 日式料酒液体复合调味料 400ml|
倷好|1|倷好 虾籽酱卤 250ml|
1664|1|1664 桃红啤酒 500ml|[DB]
NO|1|NO BRAND 芝士玉米膨化粒 145g 韩国进口|
三色彩椒|1|三色彩椒 约600g||❌
艾达的世界|1|艾达的世界 牛奶巧克力制品(红色礼盒) 120g 意大利进口|
ZUO一下|1|ZUO一下 水蜜桃巨峰葡萄果冻混合装 192g|
盒咖啡|1|盒咖啡 幻境沙漠西达摩浓缩黑咖啡液 25ml*8|
小米|1|金灿灿小米发糕240g|[DB]
大伊雅美本格烧|1|大伊雅美本格烧(蒸馏酒) 900ml 日本进口|
柴火大院|1|柴火大院 生态长粒香米 5kg|
